City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Souillac,MU,-20.5167,57.5167,73.02,74,69,18.97,light rain
289,Bucerias,MX,20.75,-105.3333,79.99,78,100,5.75,overcast clouds
290,Kernersville,US,36.1199,-80.0736,69.42,73,40,3.44,scattered clouds
291,Leningradskiy,RU,69.3833,178.4167,34.16,94,100,2.59,light snow
292,Bayangol,RU,50.6977,103.4656,64.22,29,0,2.62,clear sky
293,Urengoy,RU,65.9667,78.3667,33.89,73,100,14.41,overcast clouds
294,Nome,US,64.5011,-165.4064,70.16,34,0,8.05,clear sky
295,Siderno,IT,38.2779,16.302,79.34,42,6,6.49,clear sky
296,Valdosta,US,30.8327,-83.2785,73.92,92,0,4.61,clear sky
297,Yumen,CN,40.2833,97.2,75.87,16,100,4.7,overcast clouds
298,Sioux Lookout,CA,50.1001,-91.917,48.74,68,44,5.55,scattered clouds
299,Vanimo,PG,-2.6741,141.3028,84.54,69,34,5.95,scattered clouds
300,Pangnirtung,CA,66.1451,-65.7125,36.55,72,61,3.06,broken clouds
301,Alta Floresta,BR,-9.8756,-56.0861,72.55,54,100,2.53,overcast clouds
302,Inhambane,MZ,-23.865,35.3833,67.48,75,71,8.25,broken clouds
303,Ucluelet,CA,48.9329,-125.5528,57.09,93,100,1.01,light rain
304,Iskar,BG,43.45,24.2667,64.38,89,20,3.76,few clouds
305,Natchitoches,US,31.7668,-93.1335,76.98,83,40,0.0,scattered clouds
306,Lagos,NG,6.5833,3.75,77.09,91,100,3.15,overcast clouds
307,Te Anau,NZ,-45.4167,167.7167,49.05,91,100,3.49,overcast clouds
308,Sibolga,ID,1.7427,98.7792,80.96,74,97,1.59,overcast clouds
309,Kavieng,PG,-2.5744,150.7967,84.7,63,74,6.85,broken clouds
310,Saint-Augustin,CA,51.226,-58.6502,44.19,74,100,12.75,overcast clouds
311,Castro,BR,-24.7911,-50.0119,52.86,95,100,8.34,overcast clouds
312,Arraial Do Cabo,BR,-22.9661,-42.0278,67.84,65,96,9.64,overcast clouds
313,Port Hedland,AU,-20.3167,118.5667,75.25,38,0,18.41,clear sky
314,Qorveh,IR,35.1664,47.8045,62.64,36,76,1.81,broken clouds
315,Warkworth,NZ,-36.4,174.6667,60.91,82,100,12.86,overcast clouds
316,Bengkulu,ID,-3.8004,102.2655,80.76,71,73,1.25,broken clouds
317,Veraval,IN,20.9,70.3667,81.63,78,42,7.7,scattered clouds
318,Syamzha,RU,60.0158,41.0614,49.28,95,100,2.71,overcast clouds
319,Marsh Harbour,BS,26.5412,-77.0636,79.63,83,100,31.5,overcast clouds
320,Fresnillo,MX,23.1667,-102.8833,76.55,25,6,9.24,clear sky
321,Povenets,RU,62.8487,34.8262,47.34,97,69,3.47,broken clouds
322,San Patricio,US,28.017,-97.5169,84.29,71,48,15.03,scattered clouds
323,Sterling,US,39.0062,-77.4286,71.1,68,20,4.61,few clouds
324,Puerto Cabezas,NI,14.0351,-83.3888,79.18,86,100,7.25,overcast clouds
325,Touros,BR,-5.1989,-35.4608,74.68,91,100,7.63,overcast clouds
326,Kruisfontein,ZA,-34.0033,24.7314,56.88,79,100,4.0,overcast clouds
327,Kahului,US,20.8947,-156.47,82.42,64,40,14.97,scattered clouds
328,Asau,RO,46.4333,26.4,64.96,97,3,4.56,clear sky
329,Pala,TD,9.3642,14.9046,73.2,65,99,3.69,overcast clouds
330,Bayan,CN,46.0833,127.4,56.23,68,100,19.66,light rain
331,Mana,GF,5.6592,-53.7767,77.2,89,100,7.11,overcast clouds
332,Marathon,US,44.9,-89.7668,62.13,72,0,6.91,clear sky
333,Moron,AR,-34.6534,-58.6198,52.93,94,6,4.56,clear sky
334,San Andres,CO,12.5847,-81.7006,82.42,83,75,4.61,broken clouds
335,Beyneu,KZ,45.3167,55.2,77.9,23,1,7.58,clear sky
336,Lagoa,PT,39.05,-27.9833,62.53,93,100,12.35,overcast clouds
337,Bintulu,MY,3.1667,113.0333,83.17,73,31,3.36,scattered clouds
338,Cali,CO,3.4372,-76.5225,69.8,83,75,4.61,moderate rain
339,Keti Bandar,PK,24.1447,67.4497,81.68,82,6,18.68,clear sky
340,Richards Bay,ZA,-28.783,32.0377,61.27,68,0,8.34,clear sky
341,Gushikawa,JP,26.3544,127.8686,83.62,83,59,15.41,broken clouds
342,Otane,NZ,-39.8833,176.6333,53.01,67,100,5.46,overcast clouds
343,Gamba,GA,-2.65,10.0,73.2,94,100,3.2,overcast clouds
344,Lovozero,RU,68.005,35.0117,51.26,88,9,5.95,clear sky
345,Biak,ID,-0.9131,122.8766,82.89,67,82,1.07,light rain
346,Necochea,AR,-38.5473,-58.7368,46.22,86,100,7.76,overcast clouds
