City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Anyama,CI,77.81,overcast clouds,5.4946,-4.0518,Hotel la Residence des Hotes
652,Port Moresby,PG,84.11,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
655,Tezu,IN,82.04,broken clouds,27.9167,96.1667,Circuit House
661,Isangel,VU,80.55,clear sky,-19.55,169.2667,Tanna Lodge
670,Laguna,US,75.76,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
674,Sakakah,SA,89.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
675,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
677,Bonthe,SL,78.28,broken clouds,7.5264,-12.505,Bonthe Holiday Village
680,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
682,Tabas,IR,80.82,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
687,Pundaguitan,PH,83.35,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
691,Hami,CN,81.52,scattered clouds,42.8,93.45,Laoyutang Resort
693,Dumai,ID,80.31,overcast clouds,1.6833,101.45,Grand Zuri Dumai
