City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Ostrovnoy,RU,68.0531,39.5131,47.82,57,93,22.12
202,Bennettsville,US,34.6174,-79.6848,73.96,91,40,6.91
203,Grand Gaube,MU,-20.0064,57.6608,73.8,78,40,11.01
204,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,19,6.91
205,Camocim,BR,-2.9022,-40.8411,75.29,89,91,6.76
206,Aden,YE,12.7794,45.0367,86.27,73,79,13.94
207,Mwanza,TZ,-2.5167,32.9,64.45,72,20,11.5
208,Chum Phae,TH,16.5443,102.0992,92.3,50,99,3.4
209,Talnakh,RU,69.4865,88.3972,33.21,87,100,5.21
210,Khatanga,RU,71.9667,102.5,30.09,87,100,20.87
211,Agadir,MA,30.4202,-9.5982,63.05,85,3,3.62
212,Amaigbo,NG,5.7892,7.8383,73.6,97,100,3.18
213,Kano,NG,12.0001,8.5167,76.21,56,100,10.76
214,Lavrentiya,RU,65.5833,-171.0,49.8,56,96,8.97
215,Kirakira,SB,-10.4544,161.9205,84.76,65,98,9.89
216,Bulaevo,KZ,54.9056,70.4439,51.85,38,82,7.29
217,Thinadhoo,MV,0.5333,72.9333,83.75,71,95,10.13
218,Narsaq,GL,60.9167,-46.05,55.62,41,0,8.19
219,Bratsk,RU,56.1325,101.6142,57.69,53,63,6.17
220,Copiapo,CL,-27.3667,-70.3333,44.29,34,84,1.28
221,Mar Del Plata,AR,-38.0023,-57.5575,46.09,70,0,5.75
222,Sola,VU,-13.8833,167.55,80.89,66,12,16.08
223,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,100,13.8
224,Talara,PE,-4.5772,-81.2719,66.09,85,100,10.8
225,Solenzo,BF,12.1833,-4.0833,84.58,43,56,7.14
226,Chokurdakh,RU,70.6333,147.9167,53.58,31,8,10.87
227,Nueva Rosita,MX,27.95,-101.2167,84.29,37,1,12.24
228,Rawson,AR,-43.3002,-65.1023,49.77,55,94,27.81
229,Lata,PT,40.1629,-8.3327,55.42,92,19,4.12
230,Pochinki,RU,54.6988,44.8668,58.64,76,89,11.65
231,Meadow Lake,US,34.8014,-106.5436,74.68,35,79,5.01
232,Imbituba,BR,-28.24,-48.6703,55.85,93,94,4.32
233,Shambu,ET,9.5667,37.1,56.01,81,56,0.96
234,Yulara,AU,-25.2406,130.9889,63.16,33,1,3.09
235,Lagoa,PT,39.05,-27.9833,63.37,93,100,12.15
236,Auki,SB,-8.7676,160.7034,84.7,66,63,3.94
237,Tarbagatay,RU,51.4803,107.3602,58.53,66,100,11.25
238,Kavieng,PG,-2.5744,150.7967,83.88,64,56,11.5
239,Garissa,KE,-0.4536,39.6401,76.1,64,9,17.65
240,Cairns,AU,-16.9167,145.7667,85.1,61,40,11.5
241,Schweinfurt,DE,50.05,10.2333,61.59,94,43,2.57
242,Sur,OM,22.5667,59.5289,93.87,42,20,1.43
243,Alofi,NU,-19.0595,-169.9187,78.69,89,13,11.5
244,Milnathort,GB,56.2269,-3.4193,48.96,84,19,2.15
245,Port Macquarie,AU,-31.4333,152.9167,66.88,48,0,7.52
246,Voh,NC,-20.9667,164.7,78.21,63,44,5.37
247,Namatanai,PG,-3.6667,152.4333,82.99,69,96,8.23
248,Torbay,CA,47.6666,-52.7314,40.75,90,100,17.27
249,Pangnirtung,CA,66.1451,-65.7125,35.6,87,20,2.3
250,Lulea,SE,65.5842,22.1547,53.67,87,100,8.05
251,Campbell River,CA,50.0163,-125.2446,56.73,87,75,0.0
252,Qaqortoq,GL,60.7167,-46.0333,44.28,46,2,6.26
253,Barcelos,PT,41.5388,-8.6151,61.84,95,37,3.04
254,Kulhudhuffushi,MV,6.6221,73.07,82.31,79,72,13.35
255,Puerto Escondido,MX,15.85,-97.0667,81.43,61,75,0.0
